Pclass,Age,family_group,Cabin,female,male,Cherbourg,Queenstown,Southampton,Fare_Transformed_Capped,Survived
3,14,1,0,1,0,1,0,0,2.15530533020436,1
3,40,1,0,1,0,0,0,1,2.0338406767103816,0
2,27,1,0,1,0,0,0,1,2.602837548694982,0
3,33,0,0,0,1,1,0,0,1.905251400396637,0
2,3,2,0,1,0,1,0,0,3.091685142821556,1
3,19,0,0,1,0,0,1,0,1.9037740274337904,1
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
3,35,1,0,0,1,0,1,0,2.384953789259102,0
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
3,20,1,0,0,1,1,0,0,2.625681524845064,0
3,18,1,0,1,0,0,0,1,2.484187831415193,0
3,7,2,0,0,1,0,0,1,3.058503794742004,0
3,21,0,0,0,1,0,0,1,1.8966846738619847,0
1,49,1,1,1,0,1,0,0,3.525344942899196,1
2,29,1,0,1,0,0,0,1,2.756051030125115,1
1,34,0,1,0,1,0,0,1,2.9789394024969,1
2,21,0,0,1,0,0,0,1,2.106730068316548,1
3,28,0,0,0,1,1,0,0,1.84349184796852,0
2,5,2,0,1,0,0,0,1,2.8027356537127344,1
3,11,2,0,0,1,0,0,1,3.177362491967803,0
3,22,0,0,0,1,1,0,0,1.84349184796852,0
1,38,0,1,1,0,0,0,0,3.554670875958766,1
1,45,1,1,0,1,0,0,1,3.5845110470866093,0
3,4,2,0,0,1,0,0,1,2.806597916794217,0
1,44,0,0,0,1,1,0,0,2.801981348199806,0
3,16,1,0,0,1,1,0,0,2.3731018155813497,1
2,29,0,1,1,0,0,0,1,2.106730068316548,1
3,19,0,0,0,1,0,0,1,1.9282313889397047,0
3,17,2,0,1,0,0,0,1,1.907843051895681,1
3,26,1,0,0,1,0,0,1,1.9704697336912689,0
2,32,0,0,0,1,0,0,1,2.106730068316548,0
3,16,2,0,1,0,0,0,1,3.177362491967803,0
2,21,0,0,0,1,0,0,1,3.495107692598523,0
3,26,1,0,0,1,1,0,0,2.334902007759469,0
3,32,0,0,0,1,0,0,1,3.3094005807866385,1
3,25,0,1,0,1,0,0,1,1.8830699096007624,0
3,27,0,0,0,1,0,0,1,1.905251400396637,0
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
2,0,1,0,0,1,0,0,1,2.83429596683638,1
3,30,0,0,1,0,0,0,1,2.2295666626063677,1
3,22,0,0,0,1,0,0,1,1.99745525482574,0
3,29,0,0,0,1,0,0,1,2.035706947431606,1
3,18,0,0,1,0,0,1,0,1.8955595748145224,1
1,28,0,0,0,1,0,0,1,3.1803865217694685,0
2,17,0,0,1,0,0,0,1,2.106730068316548,1
3,33,2,0,1,0,0,0,1,2.400961466702744,1
3,16,2,0,0,1,0,0,1,2.9559342823144386,0
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
1,23,2,1,1,0,0,0,1,4.345272476100541,1
3,24,0,0,0,1,0,0,1,1.9188364522433752,0
3,29,0,0,0,1,0,0,1,1.9188364522433752,0
3,20,0,0,0,1,0,0,1,1.9015435154820328,0
1,46,1,1,0,1,0,0,1,3.3656807407430387,0
3,26,2,0,0,1,0,0,1,2.5881635970878394,0
3,59,0,0,0,1,0,0,1,1.845498323600491,0
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
1,23,1,1,0,1,1,0,0,3.3904511404559603,1
2,34,1,0,1,0,0,0,1,2.668119000389094,1
2,34,1,0,0,1,0,0,1,2.756051030125115,0
3,28,0,0,1,0,0,0,1,1.905251400396637,0
3,27,0,0,0,1,0,0,1,1.905251400396637,0
1,21,1,1,0,1,0,0,1,3.530440250500366,0
3,33,0,0,0,1,0,0,1,1.9697935418166623,0
3,37,1,0,0,1,0,0,1,1.907843051895681,0
3,28,0,0,0,1,0,0,1,1.905251400396637,0
3,21,0,0,1,0,0,0,1,1.8830699096007624,1
3,26,0,0,0,1,0,0,1,1.8944327719553784,1
3,38,0,0,0,1,0,0,1,1.905251400396637,0
3,21,1,0,1,0,0,1,0,2.7031203344789883,1
1,47,0,1,0,1,0,0,1,3.2506460749423884,0
3,14,1,0,1,0,1,0,0,2.334902007759469,0
3,22,0,0,0,1,0,0,1,1.9188364522433752,0
3,20,1,0,1,0,0,0,1,2.059548498418488,0
3,17,0,0,1,0,1,0,0,2.3351051291725318,0
3,21,0,0,0,1,0,0,1,1.907843051895681,0
2,29,1,0,0,1,0,0,1,2.602837548694982,0
1,24,1,1,0,1,1,0,0,4.336167624115406,0
3,2,2,0,1,0,0,0,1,2.888356733035295,0
2,21,1,0,0,1,0,0,1,3.495107692598523,0
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
2,32,1,0,0,1,1,0,0,2.860256705020415,0
2,32,0,1,1,0,0,0,1,2.259024621429613,1
1,54,1,1,0,1,0,0,1,3.530440250500366,0
3,12,1,0,0,1,1,0,0,2.15530533020436,1
3,47,0,0,0,1,0,1,0,1.8921740345443931,0
3,24,0,0,0,1,0,0,1,1.834991569156485,1
3,9,1,1,1,0,1,0,0,2.6478155504263223,1
3,45,0,0,0,1,0,0,1,1.8185245732612485,0
3,33,0,0,0,1,1,0,0,1.905251400396637,0
3,20,0,0,0,1,0,0,1,1.82597819091391,0
3,47,1,0,1,0,0,0,1,2.3371678022564955,0
2,29,1,0,1,0,0,0,1,2.756051030125115,1
2,25,0,0,0,1,0,0,1,2.259024621429613,0
2,23,0,0,0,1,1,0,0,2.3636387501097422,0
1,19,1,1,1,0,0,0,1,2.7638198473922624,1
1,37,1,1,0,1,0,0,1,3.2654881017746966,0
3,16,0,0,0,1,0,0,1,2.0142771539839206,0
1,24,0,1,0,1,1,0,0,3.54761313259604,0
3,13,1,0,1,0,1,0,0,2.3731018155813497,0
3,22,0,0,1,0,0,0,1,1.8921740345443931,1
3,24,1,0,1,0,0,0,1,2.400961466702744,1
3,19,0,0,0,1,0,1,0,1.7957071752554394,0
2,18,0,0,0,1,0,0,1,2.171494247197628,0
2,19,1,0,0,1,0,0,1,3.003647979681479,0
3,27,0,0,0,1,0,0,1,1.8963068303335453,1
3,9,2,0,1,0,0,0,1,2.9559342823144386,0
2,36,1,1,0,1,0,0,1,2.756051030125115,0
2,42,0,0,0,1,0,0,1,2.259024621429613,0
2,51,0,0,0,1,0,0,1,2.232423954426931,0
1,22,1,1,1,0,0,0,1,3.425663365596009,1
3,55,0,0,0,1,0,0,1,1.9188364522433752,0
3,40,1,0,0,1,0,0,1,2.3371678022564955,0
3,29,0,0,0,1,0,0,1,1.8514951346880983,0
1,51,1,0,0,1,1,0,0,3.368035497416437,0
3,16,0,0,1,0,0,1,0,1.8906613696422965,1
3,30,0,0,0,1,0,0,1,1.9188364522433752,0
3,24,0,0,0,1,0,0,1,1.9704697336912689,0
3,12,2,0,0,1,0,0,1,3.4562148482426416,0
3,44,1,0,0,1,0,0,1,2.4121826190064937,0
2,40,0,0,1,0,0,0,1,2.396423838602825,1
3,26,0,0,0,1,0,0,1,1.8944327719553784,0
3,17,0,0,0,1,0,0,1,1.9704697336912689,0
3,1,2,0,0,1,0,0,1,3.058503794742004,0
3,9,1,0,0,1,0,0,1,2.5864173326090887,1
1,28,1,1,1,0,0,0,1,3.290399587921585,1
3,45,2,0,1,0,0,0,1,2.806597916794217,0
1,59,0,0,0,1,0,0,1,2.753980043901791,0
3,28,0,0,0,1,0,0,1,3.3094005807866385,0
3,4,2,0,0,1,0,1,0,2.837376040612847,0
3,1,1,0,1,0,0,0,1,2.1484034460039654,1
3,21,0,0,0,1,0,0,1,1.907843051895681,0
1,56,0,1,0,1,1,0,0,2.8749804410366058,0
3,18,1,0,0,1,0,0,1,1.9015435154820328,0
3,15,2,0,0,1,0,0,1,2.741192206410892,0
1,50,0,1,1,0,1,0,0,2.827160550974742,0
2,30,0,0,0,1,0,0,1,2.259024621429613,0
3,36,0,0,0,1,0,0,1,0.4433120761735296,0
3,30,2,0,1,0,0,0,1,3.4562148482426416,0
2,29,0,0,0,1,1,0,0,2.3638387491742843,0
3,9,2,0,0,1,0,0,1,2.8909257396784875,0
2,1,2,1,0,1,0,0,1,3.046044375383099,1
3,4,1,0,1,0,0,0,1,2.63703782282572,1
1,42,0,1,0,1,0,0,1,3.2228202863420323,0
3,20,1,0,1,0,0,1,0,2.384953789259102,1
1,45,0,0,0,1,0,0,1,2.771056651593415,1
3,40,1,0,0,1,0,1,0,2.384953789259102,0
3,36,0,0,0,1,0,0,1,1.905251400396637,0
2,32,0,0,1,0,0,0,1,2.259024621429613,1
2,19,0,0,0,1,0,0,1,2.259024621429613,0
3,19,1,0,1,0,0,0,1,1.9015435154820328,1
2,3,1,1,0,1,0,0,1,2.756051030125115,1
1,44,0,1,1,0,1,0,0,2.801981348199806,1
1,58,0,1,1,0,1,0,0,3.97629405043203,1
3,47,0,0,0,1,0,1,0,1.8921740345443931,0
3,42,1,0,0,1,0,0,1,1.9491317117372144,0
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
2,24,0,0,1,0,0,0,1,2.259024621429613,0
3,28,0,0,0,1,0,0,1,2.035706947431606,0
3,12,2,0,0,1,0,0,1,3.4562148482426416,0
3,34,0,0,0,1,0,0,1,1.769062863367434,0
3,45,0,0,0,1,1,0,0,1.843086038761421,0
3,18,0,0,0,1,0,0,1,1.9188364522433752,1
3,2,1,1,1,0,0,0,1,2.1041867269238224,0
3,32,1,0,0,1,0,0,1,2.400961466702744,0
3,26,0,0,0,1,1,0,0,2.522934307104196,1
3,16,0,0,1,0,0,1,0,1.8921740345443931,1
1,40,0,1,0,1,1,0,0,2.882037326127912,1
3,24,0,0,0,1,0,0,1,1.82597819091391,0
2,35,0,0,1,0,0,0,1,2.602837548694982,1
3,22,0,0,0,1,0,0,1,1.845498323600491,0
2,30,0,0,0,1,0,0,1,2.259024621429613,0
3,36,1,0,0,1,0,1,0,1.8921740345443931,0
1,31,1,1,1,0,1,0,0,3.797802395977679,1
3,27,0,0,1,0,0,0,1,1.907843051895681,1
2,42,1,0,0,1,0,0,1,2.7831025378710708,0
1,32,0,1,1,0,1,0,0,3.5213254979997437,1
2,30,0,0,0,1,0,0,1,2.106730068316548,0
3,16,0,0,0,1,0,0,1,1.9188364522433752,1
2,27,0,0,0,1,0,0,1,2.259024621429613,0
3,51,0,0,0,1,0,0,1,1.9188364522433752,0
3,27,0,0,0,1,0,0,1,1.905251400396637,0
1,38,1,1,0,1,0,0,1,3.6372511828525553,1
3,22,0,0,0,1,0,0,1,2.02443790973892,0
2,19,0,0,0,1,0,0,1,2.106730068316548,1
3,20,0,0,0,1,0,0,1,1.845498323600491,0
2,18,0,0,0,1,0,0,1,2.259024621429613,0
3,19,2,0,1,0,0,0,1,2.741192206410892,0
1,35,1,1,1,0,0,0,1,3.5845110470866093,1
3,29,0,0,0,1,0,0,1,1.8944327719553784,0
2,59,0,0,0,1,0,0,1,2.286015188687376,0
3,5,2,0,1,0,0,0,1,2.8909257396784875,1
2,24,0,0,0,1,0,0,1,2.106730068316548,0
3,34,0,0,1,0,0,0,1,1.8738530911582487,0
2,44,1,0,0,1,0,0,1,2.756051030125115,0
2,8,1,0,1,0,0,0,1,2.7629110669646213,1
2,19,0,0,0,1,0,0,1,2.106730068316548,0
2,33,0,0,0,1,0,0,1,2.21802442050528,0
3,27,1,0,1,0,1,0,0,2.334902007759469,0
3,20,1,0,1,0,0,1,0,2.384953789259102,1
2,29,0,0,0,1,0,0,1,2.106730068316548,0
3,22,0,0,0,1,0,0,1,1.8333581734743103,0
3,30,0,0,0,1,1,0,0,1.843086038761421,0
1,44,1,1,0,1,0,1,0,3.6372511828525553,0
3,25,0,0,1,0,0,0,1,1.8944327719553784,0
2,24,1,0,1,0,0,0,1,2.3371678022564955,1
1,37,1,1,0,1,0,0,1,3.2581634129284938,1
2,54,1,0,0,1,0,0,1,2.756051030125115,0
3,29,0,0,0,1,0,0,1,1.845498323600491,0
3,29,1,1,1,0,0,0,1,2.1041867269238224,0
3,30,1,0,0,1,0,0,1,2.4121826190064937,0
3,41,1,0,1,0,0,0,1,2.575405769253912,0
3,29,1,0,1,0,1,0,0,2.3731018155813497,1
1,36,0,0,1,0,1,0,0,3.54761313259604,1
1,30,0,1,1,0,0,0,1,3.6094682243248495,1
1,35,0,0,1,0,1,0,0,4.345272476100541,1
2,50,1,0,1,0,0,0,1,2.756051030125115,1
3,47,0,0,0,1,0,1,0,1.8921740345443931,0
3,3,2,0,0,1,0,0,1,2.8909257396784875,1
1,52,1,1,0,1,0,0,1,3.5515920529484504,0
1,40,0,1,0,1,0,0,1,0.4433120761735296,0
3,26,0,0,1,0,0,1,0,1.8921740345443931,0
2,36,0,0,0,1,0,0,1,2.106730068316548,0
3,16,2,0,0,1,0,0,1,3.058503794742004,0
3,25,1,0,0,1,0,0,1,1.8944327719553784,1
1,58,1,1,1,0,0,0,1,4.008269339108871,1
1,35,0,1,1,0,0,0,1,3.9228692285475097,1
1,50,0,0,0,1,0,0,1,2.882037326127912,0
3,25,0,0,0,1,0,0,1,0.4433120761735296,1
2,41,1,0,1,0,0,0,1,2.5496490174309177,1
1,37,1,1,0,1,1,0,0,2.851374310010955,0
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
3,45,0,0,1,0,0,0,1,1.8921740345443931,0
2,34,0,0,0,1,0,0,1,0.4433120761735296,0
3,7,2,0,0,1,0,1,0,2.837376040612847,0
3,35,1,0,1,0,0,0,1,2.5767361175634127,1
3,28,0,0,0,1,0,0,1,1.9015435154820328,0
3,16,0,0,0,1,0,0,1,2.035706947431606,0
3,19,0,0,0,1,0,0,1,1.9188364522433752,1
1,53,0,1,0,1,0,0,1,2.756051030125115,0
3,33,0,0,0,1,1,0,0,1.9704697336912689,0
3,30,0,0,0,1,0,0,1,2.035706947431606,1
3,22,0,0,0,1,0,0,1,1.905251400396637,0
2,42,0,0,0,1,0,0,1,2.259024621429613,1
3,22,0,0,1,0,0,1,0,1.8921740345443931,1
1,26,0,0,1,0,0,0,1,3.5445023683309813,1
1,19,1,1,1,0,1,0,0,3.645594780488803,1
2,36,0,1,0,1,1,0,0,2.2521179109003238,0
3,24,0,0,1,0,0,0,1,1.9855829520751809,0
3,24,0,0,0,1,0,0,1,1.905251400396637,0
1,44,0,0,0,1,1,0,0,2.801981348199806,0
3,23,0,0,0,1,1,0,0,1.84349184796852,0
1,2,2,1,1,0,0,0,1,3.999610468711987,0
1,50,0,1,0,1,0,0,1,2.87040068331774,1
1,50,1,1,1,0,1,0,0,4.336167624115406,1
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
3,10,1,0,0,1,0,1,0,2.6758753820611605,1
3,19,0,0,0,1,0,0,1,0.4433120761735296,0
2,33,0,1,1,0,0,1,0,2.222374154444419,1
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
1,0,2,1,0,1,0,0,1,3.999610468711987,1
1,28,0,0,1,0,1,0,0,3.7829467463022137,1
1,17,1,1,1,0,1,0,0,3.770376247515229,1
2,30,1,0,0,1,1,0,0,2.698651173360474,0
1,30,0,1,1,0,1,0,0,3.3148100338965287,1
1,24,0,1,1,0,1,0,0,3.581844740621426,1
1,18,2,1,1,0,1,0,0,4.345272476100541,1
2,26,1,0,1,0,0,0,1,2.756051030125115,0
3,28,0,0,0,1,0,0,1,1.905251400396637,0
2,43,1,0,0,1,0,0,1,2.7629110669646213,0
3,26,0,0,1,0,0,0,1,1.9015435154820328,1
2,24,1,0,1,0,0,0,1,2.756051030125115,1
2,54,0,0,0,1,0,0,1,2.31204112272944,0
1,31,1,1,1,0,0,0,1,4.057706676148572,1
1,40,1,1,1,0,1,0,0,3.917056891507847,1
3,22,0,0,0,1,0,0,1,1.845498323600491,0
3,27,0,0,0,1,0,0,1,1.905251400396637,0
2,30,0,0,1,0,0,1,0,2.222374154444419,1
2,22,1,0,1,0,0,0,1,2.83429596683638,1
3,12,2,0,0,1,0,0,1,3.4562148482426416,0
1,36,0,1,1,0,1,0,0,3.9228692285475097,1
2,36,0,1,1,0,0,0,1,2.259024621429613,1
3,31,1,0,1,0,0,0,1,2.5864173326090887,1
1,16,1,1,1,0,1,0,0,3.327742947773844,1
3,14,1,0,1,0,0,1,0,2.6758753820611605,1
1,45,0,1,0,1,0,0,1,2.8218399713963644,0
1,38,1,1,0,1,0,0,1,4.008269339108871,0
3,16,1,0,0,1,0,0,1,2.4922053595215146,0
1,42,1,0,1,0,0,0,1,3.912664417207252,1
3,27,0,0,0,1,0,0,1,1.905251400396637,0
1,29,1,1,0,1,0,0,1,3.425663365596009,0
1,41,0,1,1,0,1,0,0,3.917056891507847,1
3,45,0,0,0,1,0,0,1,1.9188364522433752,1
1,45,0,1,0,1,0,0,1,2.9789394024969,0
2,2,1,1,0,1,0,0,1,2.756051030125115,1
1,24,2,1,1,0,0,0,1,4.345272476100541,1
2,28,0,0,0,1,0,0,1,2.259024621429613,0
2,25,0,0,0,1,0,0,1,2.259024621429613,0
2,36,0,0,0,1,0,0,1,2.259024621429613,0
2,24,0,1,1,0,0,0,1,2.259024621429613,1
2,40,0,0,1,0,0,0,1,2.259024621429613,1
3,24,1,0,1,0,0,0,1,2.4121826190064937,1
3,3,1,0,0,1,0,0,1,2.403219659061103,1
3,42,0,0,0,1,0,0,1,1.9704697336912689,0
3,23,0,0,0,1,0,0,1,2.014913914251703,0
1,55,0,1,0,1,0,0,1,2.9688076349908266,0
3,15,1,0,0,1,1,0,0,1.84349184796852,0
3,25,1,0,0,1,0,0,1,2.484187831415193,0
3,34,0,0,0,1,1,0,0,1.843086038761421,0
3,28,0,0,0,1,0,0,1,2.035706947431606,0
1,22,1,1,1,0,0,0,1,3.290399587921585,1
2,38,0,0,1,0,0,0,1,2.259024621429613,0
3,19,0,0,1,0,0,1,0,1.9037740274337904,1
3,19,0,0,1,0,0,1,0,1.9037740274337904,1
3,40,2,0,0,1,0,0,1,2.806597916794217,0
2,29,1,0,0,1,1,0,0,2.801981348199806,0
3,45,1,0,1,0,1,0,0,2.334902007759469,0
3,35,0,0,0,1,0,0,1,1.82597819091391,0
3,35,1,0,0,1,0,1,0,2.384953789259102,0
3,30,0,0,0,1,0,0,1,1.845498323600491,0
1,60,1,1,1,0,1,0,0,3.511659245635369,1
3,14,0,0,1,0,1,0,0,1.84349184796852,1
3,18,0,0,1,0,0,1,0,1.8921740345443931,1
1,24,0,1,1,0,1,0,0,3.4536776744687336,1
1,25,1,1,0,1,1,0,0,3.296064864458035,1
3,18,1,0,0,1,0,0,1,1.769062863367434,0
3,19,0,0,0,1,0,0,1,1.9188364522433752,0
1,22,0,0,0,1,1,0,0,3.9228692285475097,0
3,3,2,0,1,0,0,0,1,2.605396161810347,0
1,37,1,0,1,0,1,0,0,3.5734636320732154,1
3,22,0,0,1,0,0,0,1,1.845498323600491,1
1,27,1,1,0,1,1,0,0,4.228758687272127,0
3,20,0,0,0,1,1,0,0,1.44260750148186,0
3,19,0,0,0,1,0,0,1,1.8944327719553784,0
1,42,0,0,1,0,1,0,0,4.278695429297089,1
3,1,1,0,1,0,1,0,0,2.396045934160072,1
3,32,0,0,0,1,0,0,1,1.907843051895681,0
1,35,1,0,1,0,0,0,1,3.2506460749423884,1
3,27,0,0,0,1,0,0,1,1.905251400396637,0
2,18,0,0,0,1,0,0,1,3.495107692598523,0
3,1,2,0,0,1,0,0,1,3.177362491967803,0
2,36,0,0,1,0,0,0,1,2.259024621429613,1
3,25,0,0,0,1,0,1,0,1.8902895262998385,0
2,17,0,0,1,0,1,0,0,2.2018502545673053,1
1,36,2,1,0,1,0,0,1,3.837909136427004,1
3,21,0,0,0,1,0,0,1,1.8963068303335453,1
3,28,1,0,0,1,0,0,1,1.907843051895681,0
1,23,1,1,1,0,1,0,0,3.797802395977679,1
3,24,1,1,1,0,0,0,1,2.4384237116769736,1
3,22,0,0,0,1,0,0,1,1.8963068303335453,0
3,31,0,0,1,0,0,0,1,1.9015435154820328,0
2,46,0,0,0,1,0,0,1,2.756051030125115,0
2,23,0,0,0,1,0,0,1,2.106730068316548,0
2,28,0,0,1,0,0,0,1,2.239518655577903,1
3,39,0,0,0,1,0,0,1,1.907843051895681,1
3,26,0,0,0,1,0,0,1,1.9188364522433752,0
3,21,1,0,1,0,0,0,1,2.059548498418488,0
3,28,1,0,0,1,0,0,1,2.400961466702744,0
3,20,0,0,1,0,0,0,1,1.9704697336912689,0
2,34,1,0,0,1,0,0,1,2.602837548694982,0
3,51,0,0,0,1,0,0,1,1.8921740345443931,0
2,3,1,0,0,1,0,0,1,2.52150039423897,1
3,21,0,0,0,1,0,0,1,1.8944327719553784,0
3,19,2,0,1,0,0,0,1,2.741192206410892,0
3,27,0,0,0,1,0,0,1,1.905251400396637,0
3,21,0,0,0,1,0,1,0,1.8067768797405328,0
1,33,1,1,1,0,0,1,0,3.6372511828525553,1
2,34,0,0,0,1,0,0,1,0.4433120761735296,0
3,44,0,0,0,1,0,0,1,1.907843051895681,1
3,26,0,0,1,0,0,0,1,1.9188364522433752,0
2,34,1,0,1,0,0,0,1,2.915839436611296,1
2,18,1,0,1,0,0,0,1,2.259024621429613,1
2,30,0,0,0,1,0,0,1,2.259024621429613,0
3,10,1,0,1,0,0,0,1,2.7031203344789883,0
3,33,0,0,0,1,1,0,0,1.905251400396637,0
3,21,0,0,0,1,0,1,0,1.8906613696422965,0
3,29,0,0,0,1,0,0,1,1.9033997686089552,0
3,28,1,0,1,0,0,0,1,2.3322114899388686,0
3,18,1,0,0,1,0,0,1,2.575405769253912,0
3,29,0,0,0,1,0,0,1,1.845498323600491,0
2,28,1,0,1,0,0,0,1,2.756051030125115,1
2,19,0,0,1,0,0,0,1,2.756051030125115,1
3,47,0,0,0,1,0,1,0,1.8921740345443931,0
3,32,0,1,0,1,0,0,1,1.9188364522433752,1
1,28,0,1,0,1,0,0,1,2.771056651593415,1
3,24,1,0,1,0,0,0,1,2.4121826190064937,1
2,42,1,0,1,0,0,0,1,2.756051030125115,1
3,17,0,0,0,1,0,0,1,1.8333581734743103,0
1,50,1,1,0,1,0,0,1,3.301894509873877,0
1,14,2,1,1,0,0,0,1,3.837909136427004,1
3,21,2,0,1,0,0,0,1,2.9559342823144386,0
2,24,2,0,1,0,0,0,1,2.52150039423897,1
2,31,0,0,0,1,0,0,1,2.106730068316548,0
2,45,1,0,1,0,0,0,1,2.7629110669646213,1
3,20,0,0,0,1,0,0,1,2.035706947431606,0
3,25,1,0,0,1,0,0,1,1.8944327719553784,0
2,28,0,0,1,0,0,0,1,2.259024621429613,1
3,23,0,0,0,1,0,0,1,1.924272765259041,1
1,4,1,1,0,1,0,0,1,3.57078986673071,1
2,13,1,0,1,0,0,0,1,2.5496490174309177,1
1,34,0,0,0,1,0,0,1,2.771056651593415,1
3,5,2,0,1,0,1,0,0,2.5406974693109,1
1,52,0,1,0,1,0,0,1,2.87040068331774,1
2,36,2,0,0,1,0,0,1,2.8027356537127344,0
3,26,1,0,0,1,0,0,1,2.566624169606753,0
1,30,0,1,0,1,1,0,0,2.8027356537127344,0
1,49,1,1,0,1,1,0,0,3.630247210826846,1
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
3,29,0,0,0,1,1,0,0,1.905251400396637,1
1,41,1,1,1,0,0,0,1,3.248768315642373,1
2,50,0,0,1,0,0,0,1,2.106730068316548,1
3,47,0,0,0,1,0,1,0,1.8921740345443931,0
1,48,0,1,0,1,0,0,1,2.771056651593415,1
3,34,0,0,0,1,0,0,1,1.9188364522433752,0
1,47,0,1,0,1,0,0,1,3.0368418493744493,0
2,48,0,0,0,1,0,0,1,2.259024621429613,0
3,31,0,0,0,1,0,0,1,1.9188364522433752,0
3,38,0,0,0,1,0,0,1,1.82597819091391,0
2,34,0,0,0,1,0,0,1,0.4433120761735296,0
1,56,0,0,0,1,0,0,1,2.771056651593415,0
3,25,0,0,0,1,0,1,0,1.889908420889187,0
3,0,2,0,1,0,1,0,0,2.5406974693109,1
3,29,0,0,0,1,0,0,1,1.845498323600491,0
3,38,0,0,0,1,0,0,1,1.9704697336912689,0
2,33,2,0,1,0,0,0,1,2.8027356537127344,1
2,23,0,1,1,0,1,0,0,2.301311594916616,1
3,22,0,0,1,0,0,0,1,2.0604502679444785,0
1,45,0,1,0,1,0,0,1,3.2506460749423884,0
2,34,1,0,0,1,0,0,1,2.602837548694982,0
3,29,1,0,0,1,0,0,1,1.82556274796568,0
3,22,0,0,0,1,0,0,1,1.871140126855952,0
3,2,1,0,1,0,0,0,1,2.218751176268864,1
3,9,2,0,0,1,0,0,1,3.177362491967803,0
2,34,0,0,0,1,0,0,1,0.4433120761735296,0
3,50,0,0,0,1,0,0,1,1.9188364522433752,0
1,25,1,1,0,1,1,0,0,3.645594780488803,1
3,19,2,0,1,0,0,0,1,2.741192206410892,0
1,35,1,1,1,0,0,0,1,3.6372511828525553,1
1,58,0,1,0,1,1,0,0,2.851374310010955,0
3,30,0,0,0,1,0,0,1,1.9188364522433752,0
3,9,1,0,0,1,0,0,1,2.403219659061103,1
3,26,1,0,0,1,0,0,1,2.566624169606753,0
3,21,0,0,0,1,0,0,1,1.845498323600491,0
1,55,0,1,0,1,0,0,1,2.87040068331774,0
3,21,0,0,0,1,0,0,1,1.9188364522433752,0
3,19,0,0,0,1,1,0,0,2.3351051291725318,0
1,54,1,1,1,0,1,0,0,3.5392864851044537,1
3,23,0,0,0,1,0,0,1,2.366215463609794,0
1,25,2,1,1,0,0,0,1,3.999610468711987,0
3,24,0,0,0,1,0,0,1,1.8963068303335453,0
3,17,0,0,0,1,0,0,1,1.9704697336912689,0
